participant_id,prompt_id,prompt_formality_confidence,reply_formality_confidence,llm_reply_formality_confidence,final_reply_formality_confidence
P018,prompt_012,0.98,0.81,0.99,0.78
P018,prompt_013,0.99,0.93,0.98,0.97
P018,prompt_014,0.98,0.89,0.86,0.93
P018,prompt_015,0.98,0.97,0.84,0.93
P020,prompt_017,1.0,0.85,0.97,0.9
P020,prompt_015,0.98,0.8,0.52,1.0
P020,prompt_020,0.96,0.96,0.65,0.65
P020,prompt_021,0.99,0.92,0.65,0.99
P020,prompt_012,0.98,0.79,0.65,0.92
P020,prompt_013,0.99,0.97,0.65,0.77
P022,prompt_010,0.97,0.92,0.97,1.0
P022,prompt_011,0.95,0.99,0.98,0.99
P022,prompt_012,0.98,0.98,0.76,0.99
P022,prompt_013,0.99,0.9,0.84,0.97
P022,prompt_014,0.98,0.88,0.97,0.96
P022,prompt_015,0.98,0.62,0.97,0.71
P024,prompt_010,0.97,0.96,0.72,0.98
P024,prompt_012,0.98,0.65,0.99,0.98
P024,prompt_013,0.99,0.91,0.87,1.0
P024,prompt_014,0.98,0.5,0.88,0.79
P024,prompt_015,0.98,0.93,0.87,0.86
P024,prompt_011,0.95,0.59,0.99,0.99
P026,prompt_017,1.0,0.85,0.59,0.99
P026,prompt_015,0.98,0.53,0.97,0.99
P026,prompt_020,0.96,1.0,0.65,0.96
P026,prompt_021,0.99,0.69,0.65,0.86
P026,prompt_012,0.98,0.86,0.65,0.65
P026,prompt_013,0.99,0.83,0.65,0.93
P030,prompt_017,1.0,0.88,0.96,1.0
P030,prompt_014,0.98,0.91,0.99,1.0
P030,prompt_016,0.98,0.95,0.65,1.0
P030,prompt_011,0.95,0.67,0.65,0.98
P030,prompt_018,0.52,0.86,0.65,0.77
P030,prompt_019,0.91,0.65,0.65,0.58
